,Date,ReacEc_L1
485,2022-06-28T06:43:00Z,112.64
486,2022-06-28T06:44:00Z,112.64
487,2022-06-28T06:45:00Z,112.64
488,2022-06-28T06:46:00Z,112.64
489,2022-06-28T06:47:00Z,112.64
490,2022-06-28T06:48:00Z,112.64
491,2022-06-28T06:49:00Z,112.64
492,2022-06-28T06:50:00Z,112.64
493,2022-06-28T06:51:00Z,112.64
494,2022-06-28T06:52:00Z,112.64
495,2022-06-28T06:53:00Z,112.64
496,2022-06-28T06:54:00Z,112.64
497,2022-06-28T06:55:00Z,112.64
498,2022-06-28T06:56:00Z,112.64
499,2022-06-28T06:57:00Z,112.64
500,2022-06-28T06:58:00Z,112.64
501,2022-06-28T06:59:00Z,112.64
502,2022-06-28T07:00:00Z,112.64
503,2022-06-28T07:01:00Z,112.64
504,2022-06-28T07:02:00Z,112.64
505,2022-06-28T07:03:00Z,112.64
506,2022-06-28T07:04:00Z,112.64
507,2022-06-28T07:05:00Z,112.64
508,2022-06-28T07:06:00Z,112.64
509,2022-06-28T07:07:00Z,112.64
510,2022-06-28T07:08:00Z,112.64
511,2022-06-28T07:09:00Z,112.64
512,2022-06-28T07:10:00Z,112.64
513,2022-06-28T07:11:00Z,112.64
514,2022-06-28T07:12:00Z,112.64
515,2022-06-28T07:13:00Z,112.64
516,2022-06-28T07:14:00Z,112.64
517,2022-06-28T07:15:00Z,112.64
518,2022-06-28T07:16:00Z,112.64
519,2022-06-28T07:17:00Z,112.64
520,2022-06-28T07:18:00Z,112.64
521,2022-06-28T07:19:00Z,112.64
522,2022-06-28T07:20:00Z,112.64
523,2022-06-28T07:21:00Z,112.64
524,2022-06-28T07:22:00Z,112.64
525,2022-06-28T07:23:00Z,112.64
526,2022-06-28T07:24:00Z,112.64
527,2022-06-28T07:25:00Z,112.64
528,2022-06-28T07:26:00Z,112.64
529,2022-06-28T07:27:00Z,112.64
530,2022-06-28T07:28:00Z,112.64
531,2022-06-28T07:29:00Z,112.64
532,2022-06-28T07:30:00Z,112.64
533,2022-06-28T07:31:00Z,112.64
534,2022-06-28T07:32:00Z,112.64
535,2022-06-28T07:33:00Z,112.64
536,2022-06-28T07:34:00Z,112.64
537,2022-06-28T07:35:00Z,112.64
538,2022-06-28T07:36:00Z,112.64
539,2022-06-28T07:37:00Z,112.64
540,2022-06-28T07:38:00Z,112.64
541,2022-06-28T07:39:00Z,112.64
542,2022-06-28T07:40:00Z,112.64
543,2022-06-28T07:41:00Z,112.64
544,2022-06-28T07:42:00Z,112.64
545,2022-06-28T07:43:00Z,112.64
546,2022-06-28T07:44:00Z,112.64
547,2022-06-28T07:45:00Z,112.64
548,2022-06-28T07:46:00Z,112.64
549,2022-06-28T07:47:00Z,112.64
550,2022-06-28T07:48:00Z,112.64
551,2022-06-28T07:49:00Z,112.64
552,2022-06-28T07:50:00Z,112.64
553,2022-06-28T07:51:00Z,112.64
554,2022-06-28T07:52:00Z,112.64
555,2022-06-28T07:53:00Z,112.64
556,2022-06-28T07:54:00Z,112.64
557,2022-06-28T07:55:00Z,112.64
558,2022-06-28T07:56:00Z,112.64
559,2022-06-28T07:57:00Z,112.64
560,2022-06-28T07:58:00Z,112.64
561,2022-06-28T07:59:00Z,112.64
562,2022-06-28T08:00:00Z,112.64
563,2022-06-28T08:01:00Z,112.64
564,2022-06-28T08:02:00Z,112.64
565,2022-06-28T08:03:00Z,112.64
566,2022-06-28T08:04:00Z,112.64
567,2022-06-28T08:05:00Z,112.64
568,2022-06-28T08:06:00Z,112.64
569,2022-06-28T08:07:00Z,112.64
570,2022-06-28T08:08:00Z,112.64
571,2022-06-28T08:09:00Z,112.64
572,2022-06-28T08:10:00Z,112.64
573,2022-06-28T08:11:00Z,112.64
574,2022-06-28T08:12:00Z,112.64
575,2022-06-28T08:13:00Z,112.64
576,2022-06-28T08:14:00Z,112.64
577,2022-06-28T08:15:00Z,112.64
578,2022-06-28T08:16:00Z,112.64
579,2022-06-28T08:17:00Z,112.64
580,2022-06-28T08:18:00Z,112.64
581,2022-06-28T08:19:00Z,112.64
582,2022-06-28T08:20:00Z,112.64
583,2022-06-28T08:21:00Z,112.64
584,2022-06-28T08:22:00Z,112.64
585,2022-06-28T08:23:00Z,112.64
586,2022-06-28T08:24:00Z,112.64
587,2022-06-28T08:25:00Z,112.64
588,2022-06-28T08:26:00Z,112.64
589,2022-06-28T08:27:00Z,112.64
590,2022-06-28T08:28:00Z,112.64
591,2022-06-28T08:29:00Z,112.64
592,2022-06-28T08:30:00Z,112.64
593,2022-06-28T08:31:00Z,112.64
594,2022-06-28T08:32:00Z,112.64
595,2022-06-28T08:33:00Z,112.64
596,2022-06-28T08:34:00Z,112.64
597,2022-06-28T08:35:00Z,112.64
598,2022-06-28T08:36:00Z,112.64
599,2022-06-28T08:37:00Z,112.64
600,2022-06-28T08:38:00Z,112.64
601,2022-06-28T08:39:00Z,112.64
602,2022-06-28T08:40:00Z,112.64
603,2022-06-28T08:41:00Z,112.64
604,2022-06-28T08:42:00Z,112.64
605,2022-06-28T08:43:00Z,112.64
606,2022-06-28T08:44:00Z,112.64
607,2022-06-28T08:45:00Z,112.64
608,2022-06-28T08:46:00Z,112.64
609,2022-06-28T08:47:00Z,112.64
610,2022-06-28T08:48:00Z,112.64
611,2022-06-28T08:49:00Z,112.64
612,2022-06-28T08:50:00Z,112.64
613,2022-06-28T08:51:00Z,112.64
614,2022-06-28T08:52:00Z,112.64
615,2022-06-28T08:53:00Z,112.64
616,2022-06-28T08:54:00Z,112.64
617,2022-06-28T08:55:00Z,112.64
618,2022-06-28T08:56:00Z,112.64
619,2022-06-28T08:57:00Z,112.64
620,2022-06-28T08:58:00Z,112.64
621,2022-06-28T08:59:00Z,112.64
622,2022-06-28T09:00:00Z,112.64
623,2022-06-28T09:01:00Z,112.64
624,2022-06-28T09:02:00Z,112.64
625,2022-06-28T09:03:00Z,112.64
626,2022-06-28T09:04:00Z,112.64
627,2022-06-28T09:05:00Z,112.64
628,2022-06-28T09:06:00Z,112.64
629,2022-06-28T09:07:00Z,112.64
630,2022-06-28T09:08:00Z,112.64
631,2022-06-28T09:09:00Z,112.64
632,2022-06-28T09:10:00Z,112.64
633,2022-06-28T09:11:00Z,112.64
634,2022-06-28T09:12:00Z,112.64
635,2022-06-28T09:13:00Z,112.64
636,2022-06-28T09:14:00Z,112.64
637,2022-06-28T09:15:00Z,112.64
638,2022-06-28T09:16:00Z,112.64
639,2022-06-28T09:17:00Z,112.64
640,2022-06-28T09:18:00Z,112.64
641,2022-06-28T09:19:00Z,112.64
642,2022-06-28T09:20:00Z,112.64
643,2022-06-28T09:21:00Z,112.64
644,2022-06-28T09:22:00Z,112.64
645,2022-06-28T09:23:00Z,112.64
646,2022-06-28T09:24:00Z,112.64
647,2022-06-28T09:25:00Z,112.64
648,2022-06-28T09:26:00Z,112.64
649,2022-06-28T09:27:00Z,112.64
650,2022-06-28T09:28:00Z,112.64
651,2022-06-28T09:29:00Z,112.64
652,2022-06-28T09:30:00Z,112.64
653,2022-06-28T09:31:00Z,112.64
654,2022-06-28T09:32:00Z,112.64
655,2022-06-28T09:33:00Z,112.64
